subject,body,label
Unlimited Streaming for Free!,You won a cash prize! Submit details to claim.,Spam
Congratulations! You won a free trip,Get a free smartwatch with your first purchase.,Spam
Congratulations! You won a free trip,Update your account details immediately to avoid suspension.,Spam
Your Loan Pre-Approval is Ready,Get a massive 70% discount today! Limited time only.,Spam
You're Selected for a Cash Prize!,Earn $500 per day from home with no experience required.,Spam
You've Been Chosen! Collect Your Reward,Get unlimited movie streaming for free. Sign up today!,Spam
Claim Your Free Gift Now!,Win a free iPhone by signing up now.,Spam
Work from Home and Earn $500 Daily,Your bank account is at risk! Verify details immediately.,Spam
You're Selected for a Cash Prize!,You've been selected for an exclusive gift. Act now!,Spam
Work from Home and Earn $500 Daily,You've been selected for an exclusive gift. Act now!,Spam
Exclusive Offer! 70% Discount Inside,Your bank account is at risk! Verify details immediately.,Spam
You're Selected for a Cash Prize!,You won a cash prize! Submit details to claim.,Spam
Bitcoin Investment: Double Your Money!,Update your account details immediately to avoid suspension.,Spam
Claim Your Free iPhone Today!,Your loan has been pre-approved. Check eligibility now.,Spam
Final Notice: Urgent Account Update Needed,Update your account details immediately to avoid suspension.,Spam
Unlimited Streaming for Free!,You won a cash prize! Submit details to claim.,Spam
Bitcoin Investment: Double Your Money!,Click here to claim your prize.,Spam
Work from Home and Earn $500 Daily,You've been selected for an exclusive gift. Act now!,Spam
Unlimited Streaming for Free!,Your bank account is at risk! Verify details immediately.,Spam
Claim Your Free Gift Now!,Get a massive 70% discount today! Limited time only.,Spam
You've Been Chosen! Collect Your Reward,Get a free smartwatch with your first purchase.,Spam
You're Selected for a Cash Prize!,Update your account details immediately to avoid suspension.,Spam
You've Been Chosen! Collect Your Reward,You won a cash prize! Submit details to claim.,Spam
Unlimited Streaming for Free!,Earn $500 per day from home with no experience required.,Spam
Claim Your Free iPhone Today!,Your loan has been pre-approved. Check eligibility now.,Spam
Exclusive Offer! 70% Discount Inside,Invest in Bitcoin today and double your money in a month!,Spam
You've Been Chosen! Collect Your Reward,Update your account details immediately to avoid suspension.,Spam
Unlimited Streaming for Free!,Get a free smartwatch with your first purchase.,Spam
Congratulations! You won a free trip,Your bank account is at risk! Verify details immediately.,Spam
Claim Your Free Gift Now!,Click here to claim your prize.,Spam
Claim Your Free Gift Now!,Win a free iPhone by signing up now.,Spam
You've Been Chosen! Collect Your Reward,Your loan has been pre-approved. Check eligibility now.,Spam
Work from Home and Earn $500 Daily,Get a massive 70% discount today! Limited time only.,Spam
Claim Your Free Gift Now!,Your bank account is at risk! Verify details immediately.,Spam
Exclusive Offer! 70% Discount Inside,Earn $500 per day from home with no experience required.,Spam
Unlimited Streaming for Free!,Update your account details immediately to avoid suspension.,Spam
Claim Your Free iPhone Today!,Update your account details immediately to avoid suspension.,Spam
Exclusive Offer! 70% Discount Inside,Invest in Bitcoin today and double your money in a month!,Spam
Exclusive Offer! 70% Discount Inside,Your loan has been pre-approved. Check eligibility now.,Spam
Claim Your Free Gift Now!,You've been selected for an exclusive gift. Act now!,Spam
Unlimited Streaming for Free!,Get a free smartwatch with your first purchase.,Spam
Urgent: Your Account Is At Risk,Earn $500 per day from home with no experience required.,Spam
Claim Your Free iPhone Today!,Get unlimited movie streaming for free. Sign up today!,Spam
Claim Your Free iPhone Today!,Your loan has been pre-approved. Check eligibility now.,Spam
Final Notice: Urgent Account Update Needed,Invest in Bitcoin today and double your money in a month!,Spam
Unlimited Streaming for Free!,Earn $500 per day from home with no experience required.,Spam
You've Been Chosen! Collect Your Reward,Your loan has been pre-approved. Check eligibility now.,Spam
Work from Home and Earn $500 Daily,Update your account details immediately to avoid suspension.,Spam
You're Selected for a Cash Prize!,Earn $500 per day from home with no experience required.,Spam
Unlimited Streaming for Free!,Invest in Bitcoin today and double your money in a month!,Spam
Exclusive Offer! 70% Discount Inside,Get a free smartwatch with your first purchase.,Spam
Unlimited Streaming for Free!,Get a free smartwatch with your first purchase.,Spam
Claim Your Free Gift Now!,You won a cash prize! Submit details to claim.,Spam
Congratulations! You won a free trip,Click here to claim your prize.,Spam
Congratulations! You won a free trip,Earn $500 per day from home with no experience required.,Spam
Urgent: Your Account Is At Risk,Your bank account is at risk! Verify details immediately.,Spam
Claim Your Free iPhone Today!,Click here to claim your prize.,Spam
Final Notice: Urgent Account Update Needed,Your loan has been pre-approved. Check eligibility now.,Spam
Unlimited Streaming for Free!,You won a cash prize! Submit details to claim.,Spam
Bitcoin Investment: Double Your Money!,Update your account details immediately to avoid suspension.,Spam
Congratulations! You won a free trip,Get a free smartwatch with your first purchase.,Spam
You're Selected for a Cash Prize!,Click here to claim your prize.,Spam
Work from Home and Earn $500 Daily,Your bank account is at risk! Verify details immediately.,Spam
You've Been Chosen! Collect Your Reward,Get a free smartwatch with your first purchase.,Spam
Exclusive Offer! 70% Discount Inside,Your loan has been pre-approved. Check eligibility now.,Spam
Bitcoin Investment: Double Your Money!,Your bank account is at risk! Verify details immediately.,Spam
Exclusive Offer! 70% Discount Inside,Your loan has been pre-approved. Check eligibility now.,Spam
Bitcoin Investment: Double Your Money!,Your loan has been pre-approved. Check eligibility now.,Spam
Claim Your Free iPhone Today!,You've been selected for an exclusive gift. Act now!,Spam
Claim Your Free iPhone Today!,Invest in Bitcoin today and double your money in a month!,Spam
Exclusive Offer! 70% Discount Inside,Get unlimited movie streaming for free. Sign up today!,Spam
Claim Your Free iPhone Today!,Get unlimited movie streaming for free. Sign up today!,Spam
Claim Your Free Gift Now!,Get unlimited movie streaming for free. Sign up today!,Spam
Claim Your Free iPhone Today!,You won a cash prize! Submit details to claim.,Spam
Your Loan Pre-Approval is Ready,You won a cash prize! Submit details to claim.,Spam
Claim Your Free iPhone Today!,Invest in Bitcoin today and double your money in a month!,Spam
Claim Your Free Gift Now!,Click here to claim your prize.,Spam
Congratulations! You won a free trip,Your bank account is at risk! Verify details immediately.,Spam
Congratulations! You won a free trip,You've been selected for an exclusive gift. Act now!,Spam
Exclusive Offer! 70% Discount Inside,Earn $500 per day from home with no experience required.,Spam
Urgent: Your Account Is At Risk,Your bank account is at risk! Verify details immediately.,Spam
Your Loan Pre-Approval is Ready,Get a massive 70% discount today! Limited time only.,Spam
Urgent: Your Account Is At Risk,Your loan has been pre-approved. Check eligibility now.,Spam
Claim Your Free Gift Now!,You won a cash prize! Submit details to claim.,Spam
You're Selected for a Cash Prize!,Invest in Bitcoin today and double your money in a month!,Spam
Bitcoin Investment: Double Your Money!,Get a massive 70% discount today! Limited time only.,Spam
You've Been Chosen! Collect Your Reward,Your loan has been pre-approved. Check eligibility now.,Spam
Congratulations! You won a free trip,Your loan has been pre-approved. Check eligibility now.,Spam
Congratulations! You won a free trip,Invest in Bitcoin today and double your money in a month!,Spam
Urgent: Your Account Is At Risk,Click here to claim your prize.,Spam
You're Selected for a Cash Prize!,Your loan has been pre-approved. Check eligibility now.,Spam
You're Selected for a Cash Prize!,Earn $500 per day from home with no experience required.,Spam
You've Been Chosen! Collect Your Reward,Get a massive 70% discount today! Limited time only.,Spam
You've Been Chosen! Collect Your Reward,Invest in Bitcoin today and double your money in a month!,Spam
Claim Your Free iPhone Today!,Get a free smartwatch with your first purchase.,Spam
Claim Your Free Gift Now!,Update your account details immediately to avoid suspension.,Spam
Claim Your Free Gift Now!,Your loan has been pre-approved. Check eligibility now.,Spam
Claim Your Free iPhone Today!,Update your account details immediately to avoid suspension.,Spam
Congratulations! You won a free trip,Get a massive 70% discount today! Limited time only.,Spam
Claim Your Free Gift Now!,Win a free iPhone by signing up now.,Spam
Work from Home and Earn $500 Daily,Win a free iPhone by signing up now.,Spam
Unlimited Streaming for Free!,Earn $500 per day from home with no experience required.,Spam
Urgent: Your Account Is At Risk,Update your account details immediately to avoid suspension.,Spam
Claim Your Free iPhone Today!,Invest in Bitcoin today and double your money in a month!,Spam
Bitcoin Investment: Double Your Money!,You won a cash prize! Submit details to claim.,Spam
Congratulations! You won a free trip,You've been selected for an exclusive gift. Act now!,Spam
Claim Your Free iPhone Today!,Click here to claim your prize.,Spam
Unlimited Streaming for Free!,You won a cash prize! Submit details to claim.,Spam
Urgent: Your Account Is At Risk,Win a free iPhone by signing up now.,Spam
You're Selected for a Cash Prize!,Your loan has been pre-approved. Check eligibility now.,Spam
Congratulations! You won a free trip,Invest in Bitcoin today and double your money in a month!,Spam
Claim Your Free iPhone Today!,You've been selected for an exclusive gift. Act now!,Spam
Your Loan Pre-Approval is Ready,Update your account details immediately to avoid suspension.,Spam
Congratulations! You won a free trip,Get a free smartwatch with your first purchase.,Spam
Unlimited Streaming for Free!,Win a free iPhone by signing up now.,Spam
Bitcoin Investment: Double Your Money!,Your loan has been pre-approved. Check eligibility now.,Spam
Urgent: Your Account Is At Risk,Get a massive 70% discount today! Limited time only.,Spam
Bitcoin Investment: Double Your Money!,Invest in Bitcoin today and double your money in a month!,Spam
Claim Your Free iPhone Today!,Earn $500 per day from home with no experience required.,Spam
You're Selected for a Cash Prize!,Update your account details immediately to avoid suspension.,Spam
You're Selected for a Cash Prize!,Click here to claim your prize.,Spam
Unlimited Streaming for Free!,Your bank account is at risk! Verify details immediately.,Spam
Congratulations! You won a free trip,Update your account details immediately to avoid suspension.,Spam
Final Notice: Urgent Account Update Needed,Update your account details immediately to avoid suspension.,Spam
You're Selected for a Cash Prize!,Win a free iPhone by signing up now.,Spam
You're Selected for a Cash Prize!,Invest in Bitcoin today and double your money in a month!,Spam
Claim Your Free iPhone Today!,Your loan has been pre-approved. Check eligibility now.,Spam
Bitcoin Investment: Double Your Money!,You've been selected for an exclusive gift. Act now!,Spam
Bitcoin Investment: Double Your Money!,Earn $500 per day from home with no experience required.,Spam
Work from Home and Earn $500 Daily,Your loan has been pre-approved. Check eligibility now.,Spam
You've Been Chosen! Collect Your Reward,Win a free iPhone by signing up now.,Spam
You're Selected for a Cash Prize!,Click here to claim your prize.,Spam
You've Been Chosen! Collect Your Reward,Update your account details immediately to avoid suspension.,Spam
Bitcoin Investment: Double Your Money!,Earn $500 per day from home with no experience required.,Spam
Urgent: Your Account Is At Risk,Get a free smartwatch with your first purchase.,Spam
You've Been Chosen! Collect Your Reward,Get a massive 70% discount today! Limited time only.,Spam
Congratulations! You won a free trip,Invest in Bitcoin today and double your money in a month!,Spam
Urgent: Your Account Is At Risk,You won a cash prize! Submit details to claim.,Spam
Your Loan Pre-Approval is Ready,You won a cash prize! Submit details to claim.,Spam
Claim Your Free Gift Now!,Update your account details immediately to avoid suspension.,Spam
